Code,Type,Number,Brand,Model,Cc,Year,Comment,Picture
"617","VTTR","3","VOLVO","-","0","2000","-","0617-VTTR3.jpg"
"616","VTGC","5","DAF","-","16000","2000","-","0616-VTGC 05.jpg"
"617","VUCI","7","MAN","-","0","2000","-","0617-VUCI7.jpg"
"616","VTTR","1","MERCEDES-BENZ","1217AK/32","5000","1982","-","0616-VTTR 01.jpg"
"617","VFCI","6","MERCEDES-BENZ","UNIMOG U1350L","2000","1995","-","0617-VFCI6.jpg"
"617","ABSC","4","FORD","TRANSIT 300M","0","2001","-","0617-ABSC4.jpg"
"617","VCOT","1","NISSAN","PATROL LONGO","0","1998","-","0617-VCOT1.jpg"
"619","VTPT","4","TOYOTA","LAND CRUISER BJ40","0","1982","-","0619-VTPT4.jpg"
"617","ABSC","2","FIAT","DUCATO 2.5D 14 MAXI","0","1996","-","0617-ABSC2.jpg"
"619","VFCI","8","IVECO","FF135E24W RANGER","2000","1999","-","0619-VFCI8.jpg"
"619","VRCI","4","MERCEDES-BENZ","LAK1513","4000","1976","-","0619-VRCI4.jpg"
"619","VTGC","2","VOLVO","F725","18000","1983","-","0619-VTGC2.jpg"
"619","VSAT","1","RENAULT","TRAFIC","0","1987","-","0619-VSAT1.jpg"
"619","VFCI","7","MERCEDES-BENZ","UNIMOG U2150L","3500","1994","-","0619-VFCI7.jpg"
"619","ABTM","5","VOLKSWAGEN","-","0","2000","-","0619-ABTM5.jpg"
"619","VCOT","2","LAND ROVER","110 2.5 TDI DEFENDER","0","1998","-","0619-VCOT2.jpg"
"619","MOTA","1","-","-","0","2000","-","0619-MOTA.jpg"
"619","VCOT","3","UMM","ALTER II 4X4 TURBO D","0","1992","-","0619-VCOT3.jpg"
"619","ABTD","2","FORD","TRANSITL L100 VAN","0","1998","-","0619-ABTD2.jpg"
"619","ABTD","1","MERCEDES-BENZ","250D-T124","0","1991","-","0619-ABTD1.jpg"
"619","ABSC","3","RENAULT","TRAFIC TBX605","0","1996","-","0619-ABSC3.jpg"
"620","VFCI","4","RENAULT","-","0","2000","-","0620-VFCI4.jpg"
"620","VTTR","1","MAGIRUS DEUTZ","JUPITER","1978","2000","-","0620-VTTR1.jpg"
"620","VTGC","3","VOLVO","-","30000","2000","-","0620-VTGC3.jpg"
"620","VTGC","2","VOLVO","F89-42","22000","1977","-","0620-VTGC2.jpg"
"620","VSAT","1","LAND ROVER","109 LONG SERIE III","0","1973","-","0620-VSAT1.jpg"
"620","VRCI","7","MERCEDES-BENZ","917AF/31","3000","1996","-","0620-VRCI7.jpg"
"620","VLCI","1","TOYOTA","HI-LUX 2.4D POLN65","500","1990","-","0620-VLCI1.jpg"
"620","VFCI","6","MERCEDES-BENZ","917AF/31","3000","1996","-","0620-VFCI6.jpg"
"616","VOPE","3","TOYOTA","DYNA","0","1987","-","0616-VOPE 03.jpg"
"620","VCOT","2","NISSAN","PATROL JP 260SFQ","0","1994","-","0620-VCOT2.jpg"
"620","ABTD","4","VOLKSWAGEN","-","0","2000","-","0620-ABTD4.jpg"
"620","ABTD","2","MERCEDES-BENZ","-","0","2000","-","0620-ABTD2.jpg"
"620","ABSC","2","RENAULT","MASTER T33D 2.8DTI","0","1999","-","0620-ABSC2.jpg"
